FSC-A	FSC-H	SSC-A	<PE-A>: JAK1	<PerCP-Cy5-5-A>: CD25	<Pacific Blue-A>: pSTAT5	<APC-A>: STAT5
31808	28160	63936	4431.78076	5271.53955	18139.8203	7342.74902
40512	39168	87936	5348.26123	6045.29688	23518.5977	7077.35742
27776	26944	72000	4983.43457	12231.7852	21769.7871	8187.73389
80640	68608	85440	5367.86328	17980.8086	17162.7129	11017.8252
99904	97280	89024	5330.00781	14413.7617	9856.5332	11398.9424
61120	59136	63872	7510.27783	18323.0449	32415.2891	8666.54883
34560	28416	93760	5471.93066	10460.2676	18606.6621	9469.36426
65984	57920	1.25375998e5	8363.78027	18187.5566	11154.7354	17349.9668
46784	42624	65152	3601.27368	5941.26074	22047.3613	7244.10107
28736	27904	47872	2834.80127	2465.16406	17186.5273	5729.75391
54272	49984	82880	5592.44092	17293.6777	27716.8672	8486.39746
64256	60032	1.14303994e5	3902.59229	11781.5596	25053.8633	14299.1084
76032	77184	1.04512e5	8199.70898	8156.58398	30016.4824	10856.1025
68864	65728	68160	5171.25098	6564.04883	35636.9453	10029.9219
27520	23488	78528	3748.14185	11787.5391	31848.7539	8796.75293
41408	36224	1.01567996e5	10622.9102	22056.1055	7311.71436	17608.4531
32192	29504	51904	2784.73145	7047.95215	15380.9092	5409.38916
77504	74240	90688	5188.52051	9916.26758	18591.7129	20226.6855
75968	68288	94336	7338.63281	18326.2539	10216.3369	11749.2646
60160	63296	82432	4503.22852	13580.9219	8684.85938	7567.78027
84544	88512	1.25248003e5	10640.7773	26592.6348	28096.0293	15028.9355
72384	75392	59072	5773.0249	10768.0244	23287.5879	10465.8965
47808	44288	1.42016006e5	12304.2568	24036.4199	9823.06055	16966.2051
67840	51264	1.32607996e5	10647.8672	26866.877	8718.64941	21054.4512
69760	54656	78336	8306.78418	8189.07227	23507.8496	10576.415
27968	25024	57600	2727.85205	2256.1123	10188.1738	5731.76465
48640	51712	75264	4357.81592	7606.42188	25138.7129	8759.84766
26240	18304	90368	7889.41504	17497.0879	29755.918	12406.7295
46272	46400	86144	5178.30127	20379.1953	23627.4746	12904.3799
83712	77440	70592	6229.2666	10699.4688	23028.8984	10717.8555
59648	56448	52160	2802.08521	3829.76245	18814.2773	7095.8335
33216	33088	47680	3491.9292	3567.49829	17489.8477	5570.3208
55872	50880	96320	7015.71582	21224.3105	39568.1289	15457.7031
56640	51776	1.03680003e5	4397.55469	16807.7988	16680.7461	10304.2803
67392	59968	89344	7423.20703	11253.6221	34048.2812	11273.835
27456	26176	1.02144003e5	8770.45508	18271.8223	37772.7461	9890.07617
50368	43072	73088	6193.05859	9826.29688	17529.8047	7817.61963
65024	67072	71680	5279.78369	16933.3066	15581.2578	8047.26807
61952	56064	79872	6682.20801	10160.4736	24940.3184	13204.6973
74112	75776	78720	4695.09375	7222.67822	19497.8066	12556.8516
18496	16064	50240	2707.29199	8029.52002	8871.86719	3575.53101
37184	37504	59456	3476.0769	5463.25098	28719.1172	5871.6333
63872	57984	1.03424001e5	7418.50195	21431.2637	51459.0781	13868.7568
75392	75136	76864	6399.36182	9314.86914	34092.25	11204.0273
50176	42688	1.01631999e5	5127.8335	10290.1689	21529.9863	14576.4639
25664	19776	71552	8059.76855	3878.16895	38680.4727	8027.56299
43136	28864	1.36704004e5	7829.96436	25532.3438	8489.38965	21187.2656
57600	56256	66304	3199.03076	12527.2217	31849.8516	14340.3027
72704	71872	1.33184004e5	5239.51123	8235.60742	7771.72217	10645.2363
45120	40640	87936	6463.31104	17432.5605	22450.5801	10224.8594
77568	78208	1.02784002e5	4722.69629	9519.1123	40890.0625	11444.1738
27840	23744	97920	5355.60791	7919.40576	32996.1211	8969.31152
67264	67328	68672	6011.40527	9805.0791	22993.5645	7311.96387
27712	25536	70976	4869.45557	10601.4922	22288.2852	5328.1001
