FSC-A	FSC-H	SSC-A	<PE-A>: JAK1	<PerCP-Cy5-5-A>: CD25	<Pacific Blue-A>: pSTAT5	<APC-A>: STAT5
21056	14464	97152	4509.68213	13077.2646	11850.0654	6590.68896
46592	41088	96576	4484.78809	12757.5117	6839.19873	13456.9795
43520	34368	1.13023996e5	4345.97266	15650.7842	34421.2227	16007.8926
27584	24256	67328	3761.38037	5902.28906	16351.1719	5980.63428
70656	71552	91520	3874.38232	4970.66357	27050.9629	12150.7842
39552	34112	84096	4424.22656	13066.8428	28727.7617	6772.85205
58944	60544	1.21599996e5	6248.34082	4619.28955	26902.2285	6618.68164
72192	69568	94016	3638.51367	11747.9756	30536.6699	13163.1475
30528	28672	74496	4667.92383	5062.89307	15835.5996	5024.35352
71168	65216	1.15136003e5	5348.28076	15393.6826	8473.52441	9164.48438
63104	56896	1.32224e5	8343.87695	17176.0156	22748.7363	10655.5342
93120	87488	1.01696002e5	4893.38721	9478.28418	24767.9941	10438.5811
56768	45632	1.43423996e5	8622.44922	27433.959	25424.3301	18603.4688
53120	46784	76544	5484.16943	18056.6426	18101.7715	15750.8018
47552	49408	48064	2891.22778	4089.3999	14851.9297	5473.97168
20416	17792	83904	6766.11963	14648.7969	13003.3604	9071.97656
39488	32000	61632	2541.64258	7358.29443	16522.5098	8312.00488
45376	45248	74688	4183.02197	7412.66162	29970.4004	12008.5469
29504	20416	1.30048001e5	7021.01416	14610.8076	38457.2656	12113.2021
48576	47232	80832	4087.78857	4449.83984	1716.63782	7009.73975
54144	50176	70976	5667.47266	6256.54541	10199.8115	8226.81152
29312	25728	94528	5959.4624	3273.32227	22667.1797	7072.74365
53440	42048	1.1552e5	9705.98242	8505.52539	28211.2598	11143.4238
48384	42048	84352	5354.78564	14016.0469	39243.6758	9592.63574
32576	27200	91392	6312.36133	7721.27588	21958.3711	11364.9404
49856	41920	1.25056005e5	4653.23535	10417.8584	13671.0176	13114.1074
43072	39552	86976	3920.29297	14669.2383	10103.8867	8243.34961
53376	46464	97408	5285.08398	24218.1055	15754.2881	9925.25
45120	37952	1.10591996e5	7235.95361	9164.62988	25120.5918	9644.99512
19456	14528	54720	4504.70557	9491.86914	16080.2266	5855.31934
38336	30912	1.01631999e5	7480.59082	13769.8906	27646.5176	15281.5127
37824	32960	88256	5196.26172	8939.79883	19836.3203	7798.57275
62656	54464	1.37728e5	3092.05054	22239.5762	28896.3418	12964.5527
56896	52928	1.01952004e5	3214.33789	11979.5967	23051.4805	11959.1104
36864	29376	99392	6690.67871	8230.98926	24812.9473	9616.62012
66816	62976	72320	4307.77344	12297.6758	28869.6543	9695.53516
20992	17280	63104	3434.06934	9380.96387	10035.2109	6315.17529
22016	17216	89408	7386.0708	21758.9863	19893.3496	14802.874
38400	36928	63040	4448.01367	10704.2314	26653.5898	6764.9082
41600	38400	72256	4108.69434	13973.6611	25050.5938	12461.3701
61696	55552	83264	4481.60547	4301.42432	21751.4238	8081.90088
71040	68160	83520	3779.72461	7814.06494	821.68689	13125.3789
60032	58432	63680	4422.90771	6047.04004	15807.6504	8177.92822
32576	29376	71424	2427.63867	6090.28271	18442.7188	6889.18359
38528	36160	75456	5762.89844	7810.81152	28674.7461	7540.48096
31680	18240	1.05535996e5	4818.65625	11767.4033	20428.0859	13228.5098
57216	51392	1.16224003e5	4487.20801	7175.07324	27593.9531	7541.55811
54464	52736	82816	2584.31763	7064.64648	1594.58069	7642.86084
53632	43456	1.13215995e5	7202.24414	13721.6855	23280.0938	11825.0996
32320	30720	69696	3037.24902	11187.4014	8397.05176	5618.86182
44096	42624	1.07263994e5	6790.37891	4995.17334	41471.7109	13604.4971
38592	34880	73280	3518.34082	13391.7139	16189.2451	6514.87109
33152	29504	88512	5640.29004	18543.8301	18109.8848	15083.9346
26944	16960	75328	5155.41553	6091.4165	14073.8867	9192.45801
40832	36224	95552	5235.65479	16546.8789	23778.9883	9691.05273
64512	63104	99392	7796.38379	16937.8398	17696.959	15438.3398
41664	40640	74368	5128.96338	10529.9707	10280.8154	11278.2998
99072	93184	1.14624e5	7854.82275	20950.4414	6740.72021	14391.2178
97984	91904	88448	7734.79053	5857.87451	27333.5332	10928.0273
52992	47424	55040	2054.33398	3208.70923	18758.8418	7495.4751
44672	38592	1.28576004e5	9260.60938	11380.8643	61905.8984	12735.5166
42944	39424	80256	4580.29688	3417.89429	14989.6299	8427.57129
27968	26304	71936	4590.55078	7063.10645	22670.3574	6415.38623
73408	70080	67648	6231.84814	22022.5156	18393.459	12006.6865
55616	51520	96448	5124.73633	8771.77344	24868.623	10896.4619
70400	65024	68480	3414.17505	10521.3027	11070.0752	8944.78613
50688	44096	93824	6604.98682	8839.33984	21018.2148	9520.69043
32832	28992	1.17247999e5	9465.2334	20058.5156	2053.00781	9996.43164
53824	48128	83136	4455.00146	15078.457	5400.70703	7397.87549
65664	51008	1.44255996e5	8073.84033	28770.4238	2915.08423	14576.8223
45824	41600	82944	3549.62817	9547.76367	12276.8145	8692.18555
67840	53568	1.39968002e5	6920.12109	18080.5098	23453.2227	9863.27344
76864	70976	1.07840002e5	8603.43066	18764.7109	40746.2812	9815.92676
38208	36864	69824	4496.0293	6879.5293	20391.1758	5787.37549
84928	77696	1.03296006e5	7751.875	22579.0879	13978.4131	12841.3467
39232	35328	1.23135996e5	10302.3086	12181.584	47285.6797	9609.30566
25664	22144	83904	4004.35327	11263.9268	16647.8066	10152.7061
41984	37120	63232	2952.08154	5969.7334	22853.375	6274.57568
40064	28544	1.03743994e5	9986.60449	19348.25	48966.6094	14225.9395
68352	67776	82816	4180.0166	15373.6582	21521.3223	9559.62402
40832	35072	85824	8075.80273	12650.7119	35965.9414	9190.61426
39680	39744	60928	3461.90869	2831.40259	14289.4746	5279.25879
55040	45888	64384	3058.45996	7088.29004	9144.24414	9704.87988
19200	11456	71104	3492.98584	8729.99512	16064.4805	7808.77539
65536	61376	1.37919998e5	6700.37842	23286.1406	25490.5898	11955.6797
47680	42304	71744	2872.84839	4095.65625	16859.6035	5716.31104
84608	86656	74624	5084.99609	6210.35938	23692.793	5100.22119
23040	19456	47872	2735.17383	6498.69775	10032.8281	4972.23877
42176	40832	1.00095999e5	7312.70361	20202.3359	15012.3779	12022.918
79680	74688	1.05024004e5	6114.94775	20116.3379	33541.8164	15191.8564
46144	40128	73664	5983.62695	10109.918	24745.7461	14030.4834
50240	46656	72576	4539.51807	8442.25879	17185.4824	9677.89355
25920	22208	66048	5060.78906	4592.4707	9734.62695	5977.02881
25472	22208	46208	2331.93579	3492.98804	11685.1689	4110.24609
47488	47680	75712	4626.2915	11432.8936	16627.3145	6507.25293
46464	48320	1.10080004e5	7449.46045	15401.2266	35632.8672	9760.48145
43456	40704	56832	1886.09814	2737.32959	2422.61914	5063.75049
55552	52672	65088	2925.07495	4208.40088	17530.2578	5954.14844
69312	67264	1.19488001e5	5762.07812	15635.2168	31002.6758	9820.16602
36352	28480	1.01056004e5	5230.47754	9296.90918	9670.03418	12600.1934
27712	20608	96512	6730.72217	14627.6221	7851.73486	14216.6426
30848	28864	65920	3389.41553	6484.34521	10322.21	11247.3447
59392	55808	1.30623996e5	4495.2915	9411.00684	25006.5723	12448.6963
76416	65792	1.43359995e5	6197.54297	24200.1992	34146.3281	13112.8301
53440	48448	88960	5153.13428	13921.1123	15028.6309	8367.58594
49728	41792	1.17120004e5	4326.01904	15209.7012	18193.5527	10574.5488
68800	65664	74560	4308.73096	14045.4814	15401.0186	15295.5459
54016	54272	61056	2974.81421	3785.98413	20069.7539	8274.87695
72384	67392	1.42911997e5	10171.9639	13369.501	31946.4062	8359.39258
73600	70080	96320	4344.6377	6036.54785	30595.3594	8407.9502
67776	67200	68416	4497.64941	5317.77832	10810.8662	8264.42383
62208	59584	80512	6343.74316	6251.27832	34876.125	9002.04395
22976	19904	77184	4637.6748	15424.1416	14546.2969	9351.85059
45120	40128	1.09951997e5	7700.94922	14710.8359	29793.1348	13865.4629
62464	61440	71040	4655.50879	12388.0576	17027.918	6665.4834
31360	30272	49728	3516.61377	4051.8291	13671.1191	5954.40967
51904	49792	99776	5633.8999	10817.667	23436.8691	9730.66895
35968	34368	60800	3857.3291	3064.32642	15332.6064	4701.6543
76672	68416	1.06623995e5	5471.80127	25694.7949	21807.9688	8777.59277
29952	27648	48768	4030.03784	15818.0869	13142.1982	5613.64893
47680	44480	79040	4615.85254	8189.08691	12480.9229	10535.5137
52544	45696	89792	5586.0293	18722.0039	5465.43262	15437.6777
28672	21376	92224	5625.00342	10157.917	7245.77832	10908.8281
44928	45376	70400	2082.66138	7660.7793	15439.8447	8727.23926
66048	62656	80512	4126.83008	16953.0762	3461.99194	8145.94189
59904	55040	85440	7675.7876	14070.9102	8412.57617	7807.01465
80192	76288	72320	2386.09717	9589.89551	16881.7656	8464.00195
56064	51712	89792	6982.05518	14448.8164	29601.0703	11959.0303
61696	60928	1.12256002e5	3983.23267	9701.00781	20959.7598	11073.9453
55040	44800	1.07584e5	5846.49805	15953.1846	5534.69238	10250.1816
57216	55616	98880	5925.21436	8782.16895	24989.543	7668.1665
33280	30656	71680	6682.04541	19255.3555	21553.9551	11935.5479
62080	58816	1.11231995e5	3260.10645	5980.90381	1455.40015	14679.6045
64384	62208	83712	6978.76465	4625.28369	21693.9707	8196.49023
43904	36672	84800	4991.2373	16189.3047	19444.2578	8152.91357
33472	32512	1.15647995e5	5148.28076	5815.95996	16870.7656	8940.50977
46784	48448	62400	4196.34717	7630.08301	15937.0537	9152.82031
53440	52096	1.03936005e5	4707.86914	6430.32324	20006.1992	7429.08105
52800	51136	52224	4485.64355	7569.84424	17313.7422	4729.47217
82048	76544	99520	15798.7871	23591.1055	20835.3711	18154.9336
32192	24320	81728	5654.8833	15320.4766	7495.40186	7453.70312
22144	20032	81344	6017.68359	10353.873	22059.0059	9355.89648
43200	38592	1.16416001e5	5288.99512	7849.34229	40569.7461	16439.3555
69888	65792	99776	6122.47412	22980.2578	21379.2129	9703.52832
53760	44352	73216	5658.84717	6452.96924	21156.2324	5702.50928
51392	47744	78848	4937.41016	6559.27197	23043.1387	7962.35938
57408	50816	98432	5333.89697	10540.5479	24838.7168	8055.23975
67648	63488	1.07392001e5	6634.8833	15652.0049	17419.3965	18131.6406
46848	38272	1.29535997e5	7032.03076	18167.9082	31021.3281	15221.6748
49536	40064	1.57568002e5	6273.95703	21802.4004	31980.709	9689.17969
21824	21184	58432	5503.62793	6647.61133	25551.0273	7860.62451
92608	93312	99648	6078.0415	23083.8535	37370.4961	13761.9492
68736	65792	1.22239995e5	4667.03564	8197.99219	27061.1777	16743.791
64128	46272	1.31327999e5	6547.69971	23154.9668	17632.6211	13276.5947
54528	51392	74816	7097.18262	13573.2344	13864.2881	5409.04443
27776	20032	1.45024004e5	7713.33838	15671.8877	36014.0742	13861.2354
65280	66304	58048	4144.8833	6693.05273	5795.35449	5142.42969
22656	15680	94080	8152.49561	5805.4248	36805.0078	7783.77393
